"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 14 10:17:58 GMT 2023","Tue Feb 14 10:18:03 GMT 2023","4544","","Check links on the ""Network"" page.","","Check links on the ""Network"" page.","ID_0015 Check switching banners of communication maps on the ""Network"" page.","ID_0015 Check switching banners of communication maps on the ""Network"" page.",""
"passed","Tue Feb 14 10:18:23 GMT 2023","Tue Feb 14 10:18:30 GMT 2023","6807","","Check links on the ""Partners"" page.","","Check links on the ""Partners"" page.","ID_0009 Check partner form on the ""Partners"" page with valid data.","ID_0009 Check partner form on the ""Partners"" page with valid data.",""
"passed","Tue Feb 14 10:18:42 GMT 2023","Tue Feb 14 10:18:48 GMT 2023","5824","","Check links on the ""BYOC"" page.","","Check links on the ""BYOC"" page.","ID_0020 Check available resources banners on the ""BYOC"" page.","ID_0020 Check available resources banners on the ""BYOC"" page.",""
"passed","Tue Feb 14 10:19:18 GMT 2023","Tue Feb 14 10:19:25 GMT 2023","6951","","Check links on the Careers page.","","Check links on the Careers page.","ID_0007 Check positions links with reviews on the ""Careers"" page.","ID_0007 Check positions links with reviews on the ""Careers"" page.",""
"passed","Tue Feb 14 10:20:18 GMT 2023","Tue Feb 14 10:20:24 GMT 2023","6207","","Check links on the ""Partners"" page.","","Check links on the ""Partners"" page.","ID_0009 Check partner form on the ""Partners"" page with valid data.","ID_0009 Check partner form on the ""Partners"" page with valid data.",""
"passed","Tue Feb 14 10:18:56 GMT 2023","Tue Feb 14 10:18:59 GMT 2023","3265","","Check links on the ""About Us"" page.","","Check links on the ""About Us"" page.","ID_0002 Check the registration through the ""Try for free"" button on the ""About Us"" page.","ID_0002 Check the registration through the ""Try for free"" button on the ""About Us"" page.",""
"passed","Tue Feb 14 10:17:00 GMT 2023","Tue Feb 14 10:17:07 GMT 2023","6159","","Check links on the ""About Us"" page.","","Check links on the ""About Us"" page.","ID_0001 Check links to Google Maps on the ""About Us"" page.","ID_0001 Check links to Google Maps on the ""About Us"" page.",""
"passed","Tue Feb 14 10:17:33 GMT 2023","Tue Feb 14 10:17:40 GMT 2023","7827","","Check links on the Careers page.","","Check links on the Careers page.","ID_0007 Check positions links with reviews on the ""Careers"" page.","ID_0007 Check positions links with reviews on the ""Careers"" page.",""
"passed","Tue Feb 14 10:19:06 GMT 2023","Tue Feb 14 10:19:10 GMT 2023","4070","","Check links on the ""About Us"" page.","","Check links on the ""About Us"" page.","ID_0005 Check brands link on the ""About Us"" page.","ID_0005 Check brands link on the ""About Us"" page.",""
"passed","Tue Feb 14 10:17:46 GMT 2023","Tue Feb 14 10:17:53 GMT 2023","6699","","Check links on the ""Integrations"" page.","","Check links on the ""Integrations"" page.","ID_00013 Check ""Become a Beta Tester"" form on the ""Integrations"" page with valid email.","ID_00013 Check ""Become a Beta Tester"" form on the ""Integrations"" page with valid email.",""
